"land","jahr","hpi","arbeitslosenrate","inflation","leitzinsen"
"Belgium",2015,"100","8.7","100","0.05"
"Belgium",2016,"102.33","7.9","101.77","0.0"
"Belgium",2017,"105.95","7.2","104.03","0.0"
"Belgium",2018,"109.15","6","106.44","0.0"
"Belgium",2019,"113.23","5.5","107.77","0.0"
"Belgium",2020,"118.09","5.8","108.23","0.0"
"Belgium",2021,"125.96","6.3","111.71","0.0"
"Belgium",2022,"132.93","5.6","123.26","2.5"
"Belgium",2023,"136.05","5.5","126.07","4.5"
"Belgium",2024,"140.43","5.7","131.52","3.15"
"Germany",2015,"100","4.4","100","0.05"
"Germany",2016,"107.5","3.9","100.4","0.0"
"Germany",2017,"114.1","3.6","102.1","0.0"
"Germany",2018,"121.7","3.2","104","0.0"
"Germany",2019,"128.7","3","105.5","0.0"
"Germany",2020,"138.7","3.7","105.8","0.0"
"Germany",2021,"154.7","3.7","109.2","0.0"
"Germany",2022,"162.5","3.2","118.7","2.5"
"Germany",2023,"148.7","3.1","125.9","4.5"
"Germany",2024,"146.4","3.4","129","3.15"
"Estonia",2015,"100","6.4","100","0.05"
"Estonia",2016,"104.75","6.8","100.8","0.0"
"Estonia",2017,"110.51","5.8","104.48","0.0"
"Estonia",2018,"117.07","5.4","108.05","0.0"
"Estonia",2019,"125.27","4.5","110.5","0.0"
"Estonia",2020,"132.79","6.9","109.8","0.0"
"Estonia",2021,"152.78","6.2","114.72","0.0"
"Estonia",2022,"186.76","5.6","137.03","2.5"
"Estonia",2023,"197.72","6.4","149.52","4.5"
"Estonia",2024,"209.79","7.6","155.1","3.15"
"Ireland",2015,"100","9.9","100","0.05"
"Ireland",2016,"107.46","8.4","99.8","0.0"
"Ireland",2017,"119.14","6.7","100.1","0.0"
"Ireland",2018,"131.33","5.8","100.8","0.0"
"Ireland",2019,"134.41","5","101.7","0.0"
"Ireland",2020,"134.82","5.9","101.2","0.0"
"Ireland",2021,"145.98","6.2","103.6","0.0"
"Ireland",2022,"163.96","4.5","112","2.5"
"Ireland",2023,"168.99","4.3","117.8","4.5"
"Ireland",2024,"183.36","4.3","119.4","3.15"
"Spain",2015,"100","22.1","100","0.05"
"Spain",2016,"104.62","19.6","99.66","0.0"
"Spain",2017,"111.1","17.2","101.69","0.0"
"Spain",2018,"118.58","15.3","103.46","0.0"
"Spain",2019,"124.71","14.1","104.26","0.0"
"Spain",2020,"127.5","15.5","103.91","0.0"
"Spain",2021,"132.19","14.9","107.04","0.0"
"Spain",2022,"141.98","13","115.95","2.5"
"Spain",2023,"147.69","12.2","119.89","4.5"
"Spain",2024,"160.25","11.4","123.33","3.15"
"France",2015,"100","10.3","100","0.05"
"France",2016,"101.04","10.1","100.31","0.0"
"France",2017,"104.24","9.4","101.47","0.0"
"France",2018,"107.29","9","103.6","0.0"
"France",2019,"110.86","8.4","104.95","0.0"
"France",2020,"116.62","8","105.5","0.0"
"France",2021,"123.98","7.9","107.68","0.0"
"France",2022,"131.82","7.3","114.04","2.5"
"France",2023,"131.26","7.3","120.5","4.5"
"France",2024,"126.4","7.4","123.29","3.15"
"Croatia",2015,"100","16.2","100","0.05"
"Croatia",2016,"100.89","13","99.37","0.0"
"Croatia",2017,"104.75","11.1","100.67","0.0"
"Croatia",2018,"111.14","8.3","102.23","0.0"
"Croatia",2019,"121.1","6.6","103.04","0.0"
"Croatia",2020,"130.38","7.4","103.06","0.0"
"Croatia",2021,"139.91","7.5","105.82","0.0"
"Croatia",2022,"160.69","6.8","117.11","2.5"
"Croatia",2023,"179.88","6.1","126.94","4.5"
"Croatia",2024,"198.54","5","132.04","3.15"
"Italy",2015,"100","12","100","0.05"
"Italy",2016,"100.3","11.7","99.9","0.0"
"Italy",2017,"99.2","11.3","101.3","0.0"
"Italy",2018,"98.6","10.6","102.5","0.0"
"Italy",2019,"98.5","9.9","103.2","0.0"
"Italy",2020,"100.4","9.3","103","0.0"
"Italy",2021,"103","9.5","105","0.0"
"Italy",2022,"106.9","8.1","114.2","2.5"
"Italy",2023,"108.3","7.7","120.9","4.5"
"Italy",2024,"111.7","6.5","122.3","3.15"
"Cyprus",2015,"100","15","100","0.05"
"Cyprus",2016,"100.27","13","98.78","0.0"
"Cyprus",2017,"102.52","11.1","99.45","0.0"
"Cyprus",2018,"104.32","8.4","100.23","0.0"
"Cyprus",2019,"108.2","7.2","100.78","0.0"
"Cyprus",2020,"107.98","7.6","99.67","0.0"
"Cyprus",2021,"104.33","7.2","101.92","0.0"
"Cyprus",2022,"107.13","6.3","110.17","2.5"
"Cyprus",2023,"110.27","5.8","114.5","4.5"
"Cyprus",2024,"112.62","4.9","117.09","3.15"
"Latvia",2015,"100","9.9","100","0.05"
"Latvia",2016,"108.49","9.7","100.1","0.0"
"Latvia",2017,"118.01","8.7","103","0.0"
"Latvia",2018,"129.3","7.4","105.63","0.0"
"Latvia",2019,"140.88","6.3","108.53","0.0"
"Latvia",2020,"145.77","8.1","108.62","0.0"
"Latvia",2021,"161.65","7.6","112.14","0.0"
"Latvia",2022,"184.01","6.9","131.47","2.5"
"Latvia",2023,"190.89","6.5","143.38","4.5"
"Latvia",2024,"199.25","6.9","145.32","3.15"
"Lithuania",2015,"100","9.1","100","0.05"
"Lithuania",2016,"105.4","7.9","100.68","0.0"
"Lithuania",2017,"114.8","7.1","104.42","0.0"
"Lithuania",2018,"123.18","6.2","107.07","0.0"
"Lithuania",2019,"131.61","6.3","109.47","0.0"
"Lithuania",2020,"141.18","8.5","110.63","0.0"
"Lithuania",2021,"163.84","7.1","115.75","0.0"
"Lithuania",2022,"195.05","6","137.57","2.5"
"Lithuania",2023,"214.2","6.9","149.52","4.5"
"Lithuania",2024,"235.02","7.1","150.79","3.15"
"Luxembourg",2015,"100","6.7","100","0.05"
"Luxembourg",2016,"106.01","6.3","100.04","0.0"
"Luxembourg",2017,"111.96","5.5","102.15","0.0"
"Luxembourg",2018,"119.86","5.6","104.21","0.0"
"Luxembourg",2019,"131.99","5.6","105.93","0.0"
"Luxembourg",2020,"151.12","6.8","105.93","0.0"
"Luxembourg",2021,"172.15","5.3","109.61","0.0"
"Luxembourg",2022,"188.6","4.6","118.55","2.5"
"Luxembourg",2023,"171.48","5.2","122.02","4.5"
"Luxembourg",2024,"162.5","6.4","124.77","3.15"
"Malta",2015,"100","5.4","100","0.05"
"Malta",2016,"105.45","4.7","100.9","0.0"
"Malta",2017,"111.03","4","102.18","0.0"
"Malta",2018,"117.45","4","103.95","0.0"
"Malta",2019,"124.65","4.1","105.54","0.0"
"Malta",2020,"128.86","4.9","106.37","0.0"
"Malta",2021,"135.44","3.8","107.12","0.0"
"Malta",2022,"144.45","3.5","113.69","2.5"
"Malta",2023,"153.42","3.5","120.01","4.5"
"Malta",2024,"163.31","3.1","122.94","3.15"
"Netherlands",2015,"100","7.9","100","0.05"
"Netherlands",2016,"105.29","7","100.11","0.0"
"Netherlands",2017,"113.81","5.9","101.4","0.0"
"Netherlands",2018,"124.4","4.9","103.02","0.0"
"Netherlands",2019,"133.38","4.4","105.78","0.0"
"Netherlands",2020,"144.07","4.9","106.96","0.0"
"Netherlands",2021,"164.94","4.2","109.98","0.0"
"Netherlands",2022,"186.84","3.5","122.78","2.5"
"Netherlands",2023,"183.26","3.6","127.81","4.5"
"Netherlands",2024,"198.2","3.7","131.92","3.15"
"Austria",2015,"100","6.1","100","0.05"
"Austria",2016,"106.71","6.5","100.97","0.0"
"Austria",2017,"112.14","5.9","103.22","0.0"
"Austria",2018,"118.83","5.2","105.41","0.0"
"Austria",2019,"125.97","4.8","106.98","0.0"
"Austria",2020,"135.52","6","108.47","0.0"
"Austria",2021,"151.02","6.2","111.46","0.0"
"Austria",2022,"168.49","4.8","121.07","2.5"
"Austria",2023,"163.68","5.1","130.4","4.5"
"Austria",2024,"163.28","5.2","134.21","3.15"
"Portugal",2015,"100","13","100","0.05"
"Portugal",2016,"107.12","11.5","100.64","0.0"
"Portugal",2017,"117.02","9.2","102.2","0.0"
"Portugal",2018,"129.03","7.2","103.4","0.0"
"Portugal",2019,"141.88","6.6","103.71","0.0"
"Portugal",2020,"154.33","7.1","103.58","0.0"
"Portugal",2021,"168.84","6.7","104.55","0.0"
"Portugal",2022,"190.17","6.2","113.03","2.5"
"Portugal",2023,"205.76","6.5","118.98","4.5"
"Portugal",2024,"224.44","6.5","122.15","3.15"
"Slovenia",2015,"100","9","100","0.05"
"Slovenia",2016,"103.25","8","99.85","0.0"
"Slovenia",2017,"111.79","6.6","101.4","0.0"
"Slovenia",2018,"121.55","5.1","103.36","0.0"
"Slovenia",2019,"129.69","4.4","105.11","0.0"
"Slovenia",2020,"135.66","5","104.82","0.0"
"Slovenia",2021,"151.32","4.8","106.97","0.0"
"Slovenia",2022,"173.65","4","116.94","2.5"
"Slovenia",2023,"186.22","3.7","125.38","4.5"
"Slovenia",2024,"199.91","3.7","127.87","3.15"
"Slovakia",2015,"100","11.5","100","0.05"
"Slovakia",2016,"106.67","9.6","99.52","0.0"
"Slovakia",2017,"112.91","8.1","100.9","0.0"
"Slovakia",2018,"121.32","6.5","103.46","0.0"
"Slovakia",2019,"132.4","5.7","106.33","0.0"
